level,keep_punct,order,h_model,h_seq,gzip_ratio
char,False,0,4.057418022213819,4.057418022211033,0.32825451726399907
char,False,1,3.2264327096307555,3.2264327096305627,0.32825451726399907
char,False,2,2.4460096205439315,2.446009620543809,0.32825451726399907
char,False,3,1.8279574046845612,1.8279574046847638,0.32825451726399907
char,False,4,1.4153921930294304,1.4153921930293059,0.32825451726399907
char,True,0,4.338853798099745,4.338853798096259,0.3496237565119065
char,True,1,3.451045472408318,3.4510454724084436,0.3496237565119065
char,True,2,2.5138217251343087,2.513821725133967,0.3496237565119065
char,True,3,1.8328987360114966,1.8328987360114994,0.3496237565119065
char,True,4,1.3605546380010933,1.3605546380012243,0.3496237565119065
word,False,0,8.702536142766565,8.702536142766782,0.32825451726399907
word,False,1,4.34446546466992,4.344465464669943,0.32825451726399907
word,False,2,1.2889299975664312,1.288929997566418,0.32825451726399907
word,False,3,0.26353464887465294,0.2635346488746633,0.32825451726399907
word,False,4,0.06065933764561213,0.06065933764561137,0.32825451726399907
word,True,0,8.242985974833726,8.242985974834612,0.3274074884446025
word,True,1,4.325529753723054,4.3255297537231305,0.3274074884446025
word,True,2,1.639833684356953,1.6398336843569261,0.3274074884446025
word,True,3,0.4846450351441541,0.48464503514417484,0.3274074884446025
word,True,4,0.16996409518136268,0.16996409518136432,0.3274074884446025
